Bubble,False,False,False
Bubble,False,False,False
Budget,False,True,False
Budget Watch,False,False,False
Bulkshare 2,False,False,False
Bullseye,not in Github
BusTO,not in Github
BusyBox,True,False,False
Bysyklist Oslo,not in Github
c3nav,do not have master
CACertMan,False,False,False
Cache Cleaner,False,False,False
Caffeine Tile,False,False,False
Calculator,False,False,False
Calculator,do not have master
Calculator (old),do not have master
Calendar,False,False,False
Calendar Color,False,False,False
Calendar ICS adapter,False,False,False
Calendar Import-Export,False,False,False
Calendar Notifications,False,False,False
Calendar Trigger,False,False,False
Calendar Widget,False,False,False
Calendula,False,False,False
Call Recorder,not in Github
CamCov,False,False,False
Camera,False,False,False
Camera Roll,False,False,False
CamTimer,False,False,False
Capitole du Libre,False,False,False
CaptivePortalLogin,do not have master
Car Cast,False,False,False
Car Report,not in Github
Caramelos,False,False,False
Cat Avatar Generator,False,False,False
Catan Dice Game,False,False,False
Catapult,not in Github
Catverbs,False,False,False
CertTools,False,False,False
Changelog,not in Github
Chanu,False,True,False
ChartDroid Core,False,False,False
Check Network,False,False,False
Checkey,False,False,False
Cherry,False,False,False
Chess Walk,not in Github
Chibe,False,False,False
Chroma Doze,False,False,False
Chromium SWE Updater,False,False,False
ChronoSnap,False,False,False
CIDR Calculator,False,False,False
CityZen,False,False,False
Clean Status Bar,False,False,False
Clear List,False,False,False
Clementine Remote,False,False,False
Clip Stack,False,False,False
Clock widget,False,True,False
Clock+,False,False,False
Clover,False,False,False
CMIS Browser,not in Github
Cmus Remote,False,False,False
Colorpicker,False,False,False
Colors Overflow,False,False,False
Comfort Reader,False,False,False
Comics Reader,not in Github
Commons,False,False,False
CommonsLab,False,False,False
CommonsLab,False,False,False
Compass,False,False,False
Compass Keyboard,True,True,False
Complica4,False,False,False
Computational Demonology,False,False,False
Concurseiro,False,False,False
ConnectBot,True,False,True
Contact Owner,not in Github
Content Provider Helper,False,False,False
Conversations,False,False,False
Cool Reader,not in Github
Copy to Clipboard,False,False,False
CosyDVR,False,False,False
Counter,do not have master
Crates.io unofficial,False,False,False
Critical Maps,False,False,False
Critical Velocity,False,False,False
crond,False,False,False
Crossword,False,False,False
CrossWords,not in Github
Cryptfs Password,False,False,False
CryptoPass,not in Github
CS Teaching Labs,False,False,False
cSploit,False,False,False
CuprumPDF,False,True,False
Currency,False,False,False
Cythara,False,False,False
D00R,False,False,False
DAAP,not in Github
DadosD,not in Github
dandelion*,False,False,False
DAPNET,False,False,False
DataStats,False,False,False
DAVdroid,not in Github
DBZ Battery Widget,False,False,False
Debatekeeper,False,False,False
debDroid,False,False,False
Debian Kit,not in Github
Decimal Time Clock Widget,False,False,False
Defendo,False,False,False
DejaVu Fonts,not in Github
Delta Chat,True,True,False
Democracy Droid,False,False,False
Dental Sounds,False,False,False
Derandom,False,False,False
Devinettes,False,False,False
Dew Point,not in Github
Dialer for Pebble,False,False,False
Dialer2,not in Github
Diary,False,False,False
Diaspora Webclient,False,False,False
Diccionario castellano,False,False,False
Dice Game,False,False,False
Dicer,False,False,False
DictionaryForMIDs,not in Github
Dimmer,False,False,False
Diode,False,False,False
Diolinux,False,False,False
DioLite,not in Github
Dir,False,False,False
Direct Dictaphone,do not have master
Disable Battery Warnings,False,False,False
DiskUsage,True,True,False
DiveDroid,False,False,False
DNS man,False,False,False
DNS66,False,False,False
DO Swimmer,False,False,False
Document Viewer,True,True,False
Doda The Exploda,False,False,False
DoliDroid,not in Github
Dolphin Emulator,True,False,True
Domodroid,False,False,False
Don du Sang,not in Github
Dongsa,False,False,False
DotDash Keyboard,False,False,False
Draw,False,False,False
Drinks,False,False,False
DroidAtomix,not in Github
DroidBeard,False,False,False
DroidFish,True,True,False
DroidLife,not in Github
DroidSeries,not in Github
DroidShows,False,False,False
DroidWeight,False,False,False
DroidZebra,True,True,False
Drum On!,False,False,False
DSC Auto Rename,False,False,False
DSub,False,False,False
DualSim Reminder,False,False,False
Duck Duck Go,False,False,False
DuckDuckGo,False,False,False
Dumbphone Assistant,False,False,False
Duorem,False,False,False
Dynamic Night Light,False,False,False
Dziennik,False,False,False
Déjà Vu Location Service,False,False,False
E numbers,not in Github
Earmouse,False,False,False
Easer,False,False,False
Easy Open Link,not in Github
Easy xkcd,False,False,False
EasyRSS,False,False,False
Echo,False,False,False
Editor,False,False,False
EH17 Schedule,False,False,False
Elementary,False,False,False
Eleven,not in Github
Elpe Efpe,False,False,False
Emerald Launcher,False,False,False
Enchanted Fortress,False,False,False
Endoscope,False,False,False
Enhancement,not in Github
EnigmAndroid,False,False,False
Ensichat,False,False,False
Entrust IdentityGuard Unblocker,False,False,False
EP Mobile,False,False,False
Episodes,False,False,False
Equate,False,False,False
